authors,title,journal,volume,page,year,publication_type,issn,doi,handle,arxiv,biorxiv,tags
"Gilardoni, Bussi",Bayesian Sampling of Structural Ensembles: The Role of Ensemble-Counting Measures,,,,,preprint,,,,2606.18495,,#preprint
"Lin, Dasgupta, Yang, Malosso, Sormani, Egan, Bussi, Hassanali, Cremer",Beyond the Virial Expansion: Microscopic Origins of Partial Molar Volumes in LiCl Solutions,,,,,preprint,,,,2604.19622,,#preprint
"Colizzi, Blázquez-Sánchez, Bussi, André, Ballabio, Bayer, Bertocchini, Butenschön, Carosati, Piero, Pede-Mattatelli, Faggian, Favaro, Fernandes, Ferretti, Fojan, Gagsteiger, García-Ruiz, Gardossi, Giorgino, Graefe, Gunkel, Jiménez, Keller, Künze, Lim, Lippens, Maria-Solano, Mitusińska, Moliner, Molla, Myburgh, Panel, Ramírez-Sarmiento, Rocher, Strodel, Ruiz, Turak, Varrone, Vezzini, Westh, Zimmermann",Computations Meet Experiments to Advance the Enzymatic Depolymerization of Plastics One Atom at a Time,,,,,preprint,,,,2507.14413,,#preprint
"Languin-Cattoën, Posani, Bussi",Enhanced sampling and cryo-EM data resolve magnesium binding to RNA,,,,,preprint,,,,2607.07186,,#preprint
"Sacco, Li, Smyth, Sanguinetti, Bussi",MERGE-RNA: a physics-based model to predict RNA secondary structure ensembles with chemical probing,,,,,preprint,,,,2512.20581,,#preprint
"Palmer, Chauvier, Silva, Ontiveros, Bussi, Walter, Mishanina",pH-dependent allosteric remodeling of a bacterial riboswitch couples alkaline activation to metal sensing,,,,,preprint,,,,,10.64898/2026.02.18.706685,#preprint
"Mlynsky, Kuhrova, Bussi, Otyepka, Sponer, Banas",From gHBfix to NBfix: Reweighting-Driven Refinement of Hydrogen-Bond Interactions in RNA Force Fields,JOURNAL OF CHEMICAL THEORY AND COMPUTATION,,1,2026,journal article,1549-9618,10.1021/acs.jctc.6c00924,20.500.11767/152550,,10.64898/2026.03.20.713292,#pnrr2022
"Zhang, Dolcetti, Tyrchan, De Maria, Bussi, Czechtizky",Exploring Secondary Structure Predictions for RNA-Targeted Drug Discovery: Power and Challenges,JOURNAL OF CHEMICAL INFORMATION AND MODELING,66,4215,2026,journal article,1549-9596,10.1021/acs.jcim.6c00108,20.500.11767/150150,,,
"Languin-Cattoën, Bussi",RNA Dynamics and Interactions Revealed Through Atomistic Simulations,ANNUAL REVIEW OF PHYSICAL CHEMISTRY,77,489,2026,review,0066-426X,10.1146/annurev-physchem-082624-013453,20.500.11767/150010,2507.08474,,#review #msca2023
"Rapetti, Bonomi, Camilloni, Bussi, Tribello",Making PLUMED Fly: A Tutorial on Optimizing Performance,JOURNAL OF PHYSICAL CHEMISTRY B,130,2504,2026,journal article,1520-6106,10.1021/acs.jpcb.5c07562,20.500.11767/149990,2511.02699,,#pnrr2022
"Sacco, Bussi, Sanguinetti",Machine learning for RNA secondary structure prediction: a review of current methods and challenges,RNA,32,443,2026,review,1355-8382,10.1261/rna.080840.125,20.500.11767/149890,2511.02622,,#review
"Kretsch, Posani, Baulin, Bujnicki, Bussi, Cheatham, Chen, Elofsson, Farsani, Fisher, Gromiha, Gupta, Hamada, Harini, Hu, Huang, Iwakiri, Jain, Kagaya, Kihara, Kmiecik, Krishnan, Kurisaki, Languin‐Cattoen, Li, Li, Malekzadeh, Nakamura, Ni, Nithin, Palo, Park, Pilla, Poblete, Pucci, Punuru, Saha, Sato, Srivastava, Terashi, Tugolukova, Verburgt, Wuyun, Zerze, Zhang, Zhang, Zheng, Zhou, Chiu, Case, Das",Blind Prediction of Complex Water and Ion Ensembles Around RNA in CASP16,PROTEINS-STRUCTURE FUNCTION AND BIOINFORMATICS,94,381,2026,journal article,0887-3585,10.1002/prot.70079,20.500.11767/149190,,10.1101/2025.11.03.685595,#prin2022 #pnrr2022 #msca2023 #eurohpc2024
"Müller-Hermes, Piomponi, Hilber, Asami, Kreutz, Bussi, Sattler",Unique conformational dynamics and protein recognition of A-to-I hyper-edited dsRNA,NUCLEIC ACIDS RESEARCH,53,gkaf550,2025,journal article,0305-1048,10.1093/nar/gkaf550,20.500.11767/146750,,,#pnrr2022
"Mizrahi, Corley, Feldman, Fröhlking, Sun, Ziesel, Antczak, Bernetti, Elhajjajy, Huang, Nguyen, Park, Perez Martell, Trinity, Xu, Zok, Bussi, Jabbari, Orenstein, Aviran, Meyer, Yeo",Evaluation of novel computational methods to identify RNA-binding protein footprints from structural data,RNA,31,1103,2025,journal article,1355-8382,10.1261/rna.080215.124,20.500.11767/146310,,,
"Posani, Janoš, Haack, Toor, Bonomi, Magistrato, Bussi",Ensemble refinement of mismodeled cryo-EM RNA structures using all-atom simulations,NATURE COMMUNICATIONS,16,4549,2025,journal article,2041-1723,10.1038/s41467-025-59769-0,20.500.11767/146190,,10.1101/2024.07.24.604258,#prin2022 #pnrr2022 #eurohpc2024
"Gilardoni, Piomponi, Fröhlking, Bussi",MDRefine: A Python package for refining molecular dynamics trajectories with experimental data,JOURNAL OF CHEMICAL PHYSICS,162,192501,2025,journal article,0021-9606,10.1063/5.0256841,20.500.11767/146150,2411.07798,,#pnrr2022
"Boccalini, Berezovska, Bussi, Paloni, Barducci",Exploring RNA destabilization mechanisms in biomolecular condensates through atomistic simulations,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,122,e2425261122,2025,journal article,0027-8424,10.1073/pnas.2425261122,20.500.11767/145890,,10.1101/2024.09.13.612876,#pnrr2022
"Amaro, Åqvist, Bahar, Battistini, Bellaiche, Beltran, Biggin, Bonomi, Bowman, Bryce, Bussi, Carloni, Case, Cavalli, Chang, Cheatham, Cheung, Chipot, Chong, Choudhary, Cisneros, Clementi, Collepardo-Guevara, Coveney, Covino, Crawford, Dal Peraro, de Groot, Delemotte, De Vivo, Essex, Fraternali, Gao, Gelpí, Gervasio, González-Nilo, Grubmüller, Guenza, Guzman, Harris, Head-Gordon, Hernandez, Hospital, Huang, Huang, Hummer, Iglesias-Fernández, Jensen, Jha, Jiao, Jorgensen, Kamerlin, Khalid, Laughton, Levitt, Limongelli, Lindahl, Lindorff-Larsen, Loverde, Lundborg, Luo, Luque, Lynch, MacKerell, Magistrato, Marrink, Martin, McCammon, Merz, Moliner, Mulholland, Murad, Naganathan, Nangia, Noe, Noy, Oláh, O'Mara, Ondrechen, Onuchic, Onufriev, Osuna, Palermo, Panchenko, Pantano, Parish, Parrinello, Perez, Perez-Acle, Perilla, Pettitt, Pietropaolo, Piquemal, Poma, Praprotnik, Ramos, Ren, Reuter, Roitberg, Rosta, Rovira, Roux, Rothlisberger, Sanbonmatsu, Schlick, Shaytan, Simmerling, Smith, Sugita, Świderek, Taiji, Tao, Tieleman, Tikhonova, Tirado-Rives, Tuñón, van der Kamp, van der Spoel, Velankar, Voth, Wade, Warshel, Welborn, Wetmore, Wheeler, Wong, Yang, Zacharias, Orozco",The need to implement FAIR principles in biomolecular simulations,NATURE METHODS,22,641,2025,journal article,1548-7091,10.1038/s41592-025-02635-0,20.500.11767/145810,2407.16584,,
"Silva, Bussi",Characterizing RNA Oligomers Using Stochastic Titration Constant-pH Metadynamics Simulations,JOURNAL OF CHEMICAL INFORMATION AND MODELING,65,3568,2025,journal article,1549-9596,10.1021/acs.jcim.4c02185,20.500.11767/145710,2410.16064,,#pnrr2022 #embo2022
"Di Marco, Aupič, Bussi, Magistrato",All-Atom Simulations Elucidate the Molecular Mechanism Underlying RNA-Membrane Interactions,NANO LETTERS,25,4628,2025,journal article,1530-6984,10.1021/acs.nanolett.5c01254,20.500.11767/145610,,10.1101/2024.11.01.618995,#pnrr2022
"Tribello, Bonomi, Bussi, Camilloni, Armstrong, Arsiccio, Aureli, Ballabio, Bernetti, Bonati, Brookes, Brotzakis, Capelli, Ceriotti, Chan, Cossio, Dasetty, Donadio, Ensing, Ferguson, Fraux, Gale, Gervasio, Giorgino, Herringer, Hocky, Hoff, Invernizzi, Languin-Cattoën, Leone, Limongelli, Lopez-Acevedo, Marinelli, Febrer Martinez, Masetti, Mehdi, Michaelides, Murtada, Parrinello, Piaggi, Pietropaolo, Pietrucci, Pipolo, Pritchard, Raiteri, Raniolo, Rapetti, Rizzi, Rydzewski, Salvalaglio, Schran, Seal, Shayesteh Zadeh, Silva, Spiwok, Stirnemann, Sucerquia, Tiwary, Valsson, Vendruscolo, Voth, White, Wu","PLUMED Tutorials: A collaborative, community-driven learning ecosystem",JOURNAL OF CHEMICAL PHYSICS,162,092501,2025,journal article,0021-9606,10.1063/5.0251501,20.500.11767/145470,2412.03595,,#prin2022 #pnrr2022 #embo2022
"Janeček, Kührová, Mlýnský, Stadlbauer, Otyepka, Bussi, Šponer, Banáš",Computer Folding of Parallel DNA G-Quadruplex: Hitchhiker's Guide to the Conformational Space,JOURNAL OF COMPUTATIONAL CHEMISTRY,46,e27535,2025,journal article,0192-8651,10.1002/jcc.27535,20.500.11767/144070,,,
Gilardoni,Development and application of methods to integrate molecular simulations with experimental measurements,PHD THESIS,,,2025,PhD thesis,,,20.500.11767/148092,,,
Posani,Ensemble Refinement of Cryo-Electron Microscopy-Derived RNA Structures Using Molecular Dynamics Simulations,PHD THESIS,,,2025,PhD thesis,,,20.500.11767/148091,,,
"Piomponi, Krepl, Sponer, Bussi",Molecular Simulations to Investigate the Impact of N6-Methylation in RNA Recognition: Improving Accuracy and Precision of Binding Free Energy Prediction,JOURNAL OF PHYSICAL CHEMISTRY B,128,8896,2024,journal article,1520-6106,10.1021/acs.jpcb.4c03397,20.500.11767/140611,2404.14821,,
"Bussi, Bonomi, Gkeka, Sattler, Al-Hashimi, Auffinger, Duca, Foricher, Incarnato, Jones, Kirmizialtin, Krepl, Orozco, Palermo, Pasquali, Salmon, Schwalbe, Westhof, Zacharias",RNA dynamics from experimental and computational approaches,STRUCTURE,32,1281,2024,review,0969-2126,10.1016/j.str.2024.07.019,20.500.11767/140610,2404.02789,,#review
"Mykuliak, Rahikainen, Ball, Bussi, Goult, Hytönen",Molecular dynamics simulations reveal how vinculin refolds partially unfolded talin rod helices to stabilize them against mechanical force,PLOS COMPUTATIONAL BIOLOGY,20,e1012341,2024,journal article,1553-734X,10.1371/journal.pcbi.1012341,20.500.11767/140551,,,
"Thiel, Bussi, Poblete, Hofacker","Sampling globally and locally correct RNA 3D structures using Ernwin, SPQR and experimental SAXS data",NUCLEIC ACIDS RESEARCH,52,e73,2024,journal article,0305-1048,10.1093/nar/gkae602,20.500.11767/140550,,10.1101/2022.07.02.498583,
"Pokorná, Mlýnský, Bussi, Šponer, Stadlbauer",Molecular dynamics simulations reveal the parallel stranded d(GGGA)3GGG DNA quadruplex folds via multiple paths from a coil-like ensemble,INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES,261,129712,2024,journal article,0141-8130,10.1016/j.ijbiomac.2024.129712,20.500.11767/137290,,10.1101/2023.09.09.556957,
"Gilardoni, Fröhlking, Bussi",Boosting Ensemble Refinement with Transferable Force-Field Corrections: Synergistic Optimization for Molecular Simulations,JOURNAL OF PHYSICAL CHEMISTRY LETTERS,15,1204,2024,journal article,1948-7185,10.1021/acs.jpclett.3c03423,20.500.11767/136390,2311.13532,,
"Piomponi, Bernetti, Bussi",Molecular Dynamics Simulations of Chemically Modified Ribonucleotides,RNA Structure and Function. RNA Technologies,14,595,2023,book chapter,,10.1007/978-3-031-36390-0_26,20.500.11767/134910,2211.13657,,#bookchapter
"Calonaci, Bernetti, Jones, Sattler, Bussi",Molecular Dynamics Simulations with Grand-Canonical Reweighting Suggest Cooperativity Effects in RNA Structure Probing Experiments,JOURNAL OF CHEMICAL THEORY AND COMPUTATION,19,3672,2023,journal article,1549-9618,10.1021/acs.jctc.3c00084,20.500.11767/132690,2209.12640,,
"Fröhlking, Bernetti, Bussi",Simultaneous refinement of molecular dynamics ensembles and forward models using experimental data,JOURNAL OF CHEMICAL PHYSICS,158,214120,2023,journal article,0021-9606,10.1063/5.0151163,20.500.11767/132590,2303.09372,,
"Zhang, Šponer, Bussi, Mlýnský, Šulc, Simmons, Stephanopoulos, Krepl",Atomistic Picture of Opening-Closing Dynamics of DNA Holliday Junction Obtained by Molecular Simulations,JOURNAL OF CHEMICAL INFORMATION AND MODELING,63,2794,2023,journal article,1549-9596,10.1021/acs.jcim.3c00358,20.500.11767/131910,,,
"Hsu, Piomponi, Merz, Bussi, Shirts",Alchemical Metadynamics: Adding Alchemical Variables to Metadynamics to Enhance Sampling in Free Energy Calculations,JOURNAL OF CHEMICAL THEORY AND COMPUTATION,19,1805,2023,journal article,1549-9618,10.1021/acs.jctc.2c01258,20.500.11767/131150,2206.01329,,
"Bernetti, Bussi",Integrating experimental data with molecular simulations to investigate RNA structural dynamics,CURRENT OPINION IN STRUCTURAL BIOLOGY,78,102503,2023,review,0959-440X,10.1016/j.sbi.2022.102503,20.500.11767/130351,2207.08622,,#review
Piomponi,Molecular simulations to investigate the impact of post-transcriptional modifications on RNA structural dynamics,PHD THESIS,,,2023,PhD thesis,,,20.500.11767/134590,,,
"Dutta, Tapio, Suma, Mostafa, Kanehira, Carnevale, Bussi, Bald",Molecular states and spin crossover of hemin studied by DNA origami enabled single-molecule surface-enhanced Raman scattering,NANOSCALE,14,16467,2022,journal article,2040-3364,10.1039/d2nr03664a,20.500.11767/130112,,,
"Grothaus, Bussi, Colombi Ciacchi","Exploration, Representation, and Rationalization of the Conformational Phase Space of N-Glycans",JOURNAL OF CHEMICAL INFORMATION AND MODELING,62,4992,2022,journal article,1549-9596,10.1021/acs.jcim.2c01049,20.500.11767/130111,,10.1101/2022.06.17.496605,
"Rolband, Beasock, Wang, Shu, Dinman, Schlick, Zhou, Kieft, Chen, Bussi, Oukhaled, Gao, Šulc, Binzel, Bhullar, Liang, Guo, Afonin","Biomotors, viral assembly, and RNA nanobiotechnology: Current achievements and future directions",COMPUTATIONAL AND STRUCTURAL BIOTECHNOLOGY JOURNAL,20,6120,2022,review,2001-0370,10.1016/j.csbj.2022.11.007,20.500.11767/130110,,,#review
"Piomponi, Fröhlking, Bernetti, Bussi",Molecular Simulations Matching Denaturation Experiments for N6-Methyladenosine,ACS CENTRAL SCIENCE,8,1218,2022,journal article,2374-7951,10.1021/acscentsci.2c00565,20.500.11767/129310,2203.14886,,
"Fröhlking, Mlýnský, Janeček, Kührová, Krepl, Banáš, Šponer, Bussi",Automatic Learning of Hydrogen-Bond Fixes in the AMBER RNA Force Field,JOURNAL OF CHEMICAL THEORY AND COMPUTATION,18,4490,2022,journal article,1549-9618,10.1021/acs.jctc.2c00200,20.500.11767/129230,2201.04078,,
"Mlýnský, Janeček, Kührová, Fröhlking, Otyepka, Bussi, Banáš, Šponer",Toward Convergence in Folding Simulations of RNA Tetraloops: Comparison of Enhanced Sampling Techniques and Effects of Force Field Modifications,JOURNAL OF CHEMICAL THEORY AND COMPUTATION,18,2642,2022,journal article,1549-9618,10.1021/acs.jctc.1c01222,20.500.11767/128029,,10.1101/2021.11.30.470631,
"Del Tatto, Raiteri, Bernetti, Bussi",Molecular Dynamics of Solids at Constant Pressure and Stress Using Anisotropic Stochastic Cell Rescaling,APPLIED SCIENCES-BASEL,12,1139,2022,journal article,2076-3417,10.3390/app12031139,20.500.11767/126131,,,
Froehlking,Machine learning RNA force fields from experimental data,PHD THESIS,,,2022,PhD thesis,,,20.500.11767/129750,,,
"Bernetti, Bussi",Comparing state-of-the-art approaches to back-calculate SAXS spectra from atomistic molecular dynamics simulations,EUROPEAN PHYSICAL JOURNAL B,94,180,2021,journal article,1434-6028,10.1140/epjb/s10051-021-00186-9,20.500.11767/126129,,,
"Bernetti, Hall, Bussi",Reweighting of molecular simulations with explicit-solvent SAXS restraints elucidates ion-dependent RNA ensembles,NUCLEIC ACIDS RESEARCH,49,e84,2021,journal article,0305-1048,10.1093/nar/gkab459,20.500.11767/123473,2103.04964,,
"Paloni, Bussi, Barducci",Arginine multivalency stabilizes protein/RNA condensates,PROTEIN SCIENCE,30,1418,2021,journal article,0961-8368,10.1002/pro.4109,20.500.11767/123470,,10.1101/2021.04.22.440959,
"Bottaro, Bussi, Lindorff-Larsen",Conformational Ensembles of Noncoding Elements in the SARS-CoV-2 Genome from Molecular Dynamics Simulations,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,143,8333,2021,journal article,0002-7863,10.1021/jacs.1c01094,20.500.11767/123468,,10.1101/2020.12.11.421784,
"Suma, Coronel, Bussi, Micheletti",Directional translocation resistance of Zika xrRNA,NATURE COMMUNICATIONS,11,3749,2020,journal article,2041-1723,10.1038/s41467-020-17508-7,20.500.11767/116391,,10.1101/2020.06.17.157297,
"Calonaci, Jones, Cuturello, Sattler, Bussi",Machine learning a model for RNA structure prediction,NAR GENOMICS AND BIOINFORMATICS,2,lqaa090,2020,journal article,2631-9268,10.1093/nargab/lqaa090,20.500.11767/115849,2004.00351,,
"Bernetti, Bussi",Pressure control using stochastic cell rescaling,JOURNAL OF CHEMICAL PHYSICS,153,114107,2020,journal article,0021-9606,10.1063/5.0020514,20.500.11767/114289,2006.09250,,
"Fröhlking, Bernetti, Calonaci, Bussi",Toward empirical force fields that match experimental observables,JOURNAL OF CHEMICAL PHYSICS,152,230902,2020,journal article,0021-9606,10.1063/5.0011346,20.500.11767/112969,2004.01630,,
"Mlynsky, Kührová, Kühr, Otyepka, Bussi, Banáš, Šponer",Fine-tuning of the AMBER RNA force field with a new term adjusting interactions of terminal nucleotides,JOURNAL OF CHEMICAL THEORY AND COMPUTATION,16,3936,2020,journal article,1549-9618,10.1021/acs.jctc.0c00228,20.500.11767/112577,,10.1101/2020.03.08.982538,
"Cuturello, Tiana, Bussi",Assessing the accuracy of direct-coupling analysis for RNA contact prediction,RNA,26,637,2020,journal article,1355-8382,10.1261/rna.074179.119,20.500.11767/110422,1812.07630,,
"Bussi, Laio, Tiwary",Metadynamics: A Unified Framework for Accelerating Rare Events and Sampling Thermodynamics and Kinetics,Handbook of Materials Modeling,,565,2020,book chapter,,10.1007/978-3-319-44677-6_49,20.500.11767/110357,,,#bookchapter
"Bussi, Laio",Using metadynamics to explore complex free-energy landscapes,NATURE REVIEWS PHYSICS,2,200,2020,review,2522-5820,10.1038/s42254-020-0153-0,20.500.11767/110289,,,#review
"Reißer, Zucchelli, Gustincich, Bussi",Conformational ensembles of an RNA hairpin using molecular dynamics and sparse NMR data,NUCLEIC ACIDS RESEARCH,48,1164,2020,journal article,0305-1048,10.1093/nar/gkz1184,20.500.11767/108474,,,#erc2012
Calonaci,Computational investigations of structure probing experiments for RNA structure prediction,PHD THESIS,,,2020,PhD thesis,,,20.500.11767/116273,,,
"Colizzi, Perez-Gonzalez, Fritzen, Levy, White, Carlos Penedo, Bussi",Asymmetric base-pair opening drives helicase unwinding dynamics,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,116,22471,2019,journal article,0027-8424,10.1073/pnas.1901086116,20.500.11767/104314,,,#erc2012
"Bussi, Tribello",Analyzing and Biasing Simulations with PLUMED,BIOMOLECULAR SIMULATIONS: METHODS AND PROTOCOLS,2022,529,2019,book chapter,,10.1007/978-1-4939-9608-7_21,20.500.11767/102399,1812.08213,,#bookchapter
